year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1943,Argentina,ARG,ARS,Latin America,1940s,0.0193,0.0731,0.3503,0.016,0.2904,0.0094,17.37,4.32,3.23,Very Low (<$0.30),14.0,0.0166,0,heavy,1,1.2,0.0075,0.0118,1.0,17.3,18.1503
1944,Argentina,ARG,ARS,Latin America,1940s,0.0181,0.0685,0.3229,0.0154,0.2747,0.0085,16.29,-6.22,-3.75,Very Low (<$0.30),14.0,0.0156,0,heavy,1,1.21,0.0076,0.0105,1.0,17.6,17.8409
1945,Argentina,ARG,ARS,Latin America,1940s,0.0193,0.0731,0.3367,0.0156,0.2721,0.0093,17.37,6.63,1.3,Very Low (<$0.30),14.0,0.0166,0,heavy,1,1.22,0.0077,0.0116,1.0,18.0,17.4444
1946,Argentina,ARG,ARS,Latin America,1940s,0.0196,0.0742,0.3156,0.0158,0.2544,0.0091,17.64,1.55,1.28,Very Low (<$0.30),14.0,0.0169,0,heavy,1,1.41,0.0089,0.0107,1.0,19.5,16.1026
1947,Argentina,ARG,ARS,Latin America,1940s,0.0197,0.0746,0.2774,0.016,0.2253,0.0096,17.73,0.51,1.27,Very Low (<$0.30),14.0,0.0169,0,heavy,1,1.93,0.0121,0.0076,1.0,22.3,14.0807
1948,Argentina,ARG,ARS,Latin America,1940s,0.0195,0.0738,0.2541,0.0161,0.2098,0.0095,17.55,-1.02,0.62,Very Low (<$0.30),14.0,0.0168,0,heavy,1,2.6,0.0164,0.0031,1.0,24.1,13.029
1949,Argentina,ARG,ARS,Latin America,1940s,0.0197,0.0746,0.2599,0.0165,0.2177,0.0094,17.73,1.03,2.48,Very Low (<$0.30),14.0,0.0169,0,heavy,1,2.54,0.016,0.0037,1.0,23.8,13.1933
1950,Argentina,ARG,ARS,Latin America,1950s,0.0204,0.0772,0.2658,0.0163,0.2124,0.0098,18.36,3.55,-1.21,Very Low (<$0.30),21.0,0.0161,1,heavy,1,2.51,0.0158,0.0046,1.0,24.1,13.029
1951,Argentina,ARG,ARS,Latin America,1950s,0.02,0.0757,0.2415,0.0162,0.1956,0.0098,18.0,-1.96,-0.61,Very Low (<$0.30),21.0,0.0158,1,heavy,1,2.53,0.0159,0.0041,1.0,26.0,12.0769
1952,Argentina,ARG,ARS,Latin America,1950s,0.0216,0.0818,0.2559,0.0177,0.2097,0.0103,19.44,8.0,9.26,Very Low (<$0.30),21.0,0.0171,1,heavy,1,2.53,0.0159,0.0057,1.0,26.5,11.8491
1953,Argentina,ARG,ARS,Latin America,1950s,0.0227,0.0859,0.267,0.0191,0.2246,0.0106,20.43,5.09,7.91,Very Low (<$0.30),21.0,0.0179,1,heavy,1,2.68,0.0169,0.0058,1.0,26.7,11.7603
1954,Argentina,ARG,ARS,Latin America,1950s,0.024,0.0908,0.2801,0.019,0.2218,0.0117,21.6,5.73,-0.52,Very Low (<$0.30),21.0,0.019,1,heavy,1,2.78,0.0175,0.0065,1.0,26.9,11.6729
1955,Argentina,ARG,ARS,Latin America,1950s,0.0243,0.092,0.2847,0.02,0.2343,0.0115,21.87,1.25,5.26,Very Low (<$0.30),21.0,0.0192,1,heavy,1,2.77,0.0174,0.0069,1.0,26.8,11.7164
1956,Argentina,ARG,ARS,Latin America,1950s,0.0257,0.0973,0.2967,0.0213,0.2459,0.0124,23.13,5.76,6.5,Very Low (<$0.30),21.0,0.0203,1,heavy,1,2.79,0.0175,0.0082,1.0,27.2,11.5441
1957,Argentina,ARG,ARS,Latin America,1950s,0.0264,0.0999,0.295,0.0216,0.2414,0.0128,23.76,2.72,1.41,Very Low (<$0.30),21.0,0.0209,1,heavy,1,3.09,0.0194,0.007,1.0,28.1,11.1744
1958,Argentina,ARG,ARS,Latin America,1950s,0.0278,0.1052,0.302,0.0234,0.2542,0.0135,25.02,5.3,8.33,Very Low (<$0.30),21.0,0.022,1,heavy,1,3.01,0.0189,0.0089,1.0,28.9,10.8651
1959,Argentina,ARG,ARS,Latin America,1950s,0.0284,0.1075,0.3064,0.0232,0.2503,0.0134,25.56,2.16,-0.85,Very Low (<$0.30),21.0,0.0224,1,heavy,1,2.9,0.0182,0.0102,1.0,29.1,10.7904
1960,Argentina,ARG,ARS,Latin America,1960s,0.0302,0.1143,0.3204,0.0253,0.2684,0.0149,27.18,6.34,9.05,Very Low (<$0.30),21.0,0.0239,1,heavy,1,2.88,0.0181,0.0121,1.0,29.6,10.6081
1961,Argentina,ARG,ARS,Latin America,1960s,0.0317,0.12,0.3329,0.0263,0.2762,0.0149,28.53,4.97,3.95,Very Low (<$0.30),21.0,0.025,1,heavy,1,2.89,0.0182,0.0135,1.0,29.9,10.5017
1962,Argentina,ARG,ARS,Latin America,1960s,0.0334,0.1264,0.3473,0.0275,0.2859,0.0157,30.06,5.36,4.56,Very Low (<$0.30),21.0,0.0264,1,heavy,1,2.9,0.0182,0.0152,1.0,30.2,10.3974
1963,Argentina,ARG,ARS,Latin America,1960s,0.0356,0.1348,0.3653,0.0301,0.3089,0.0164,32.04,6.59,9.45,Very Low (<$0.30),21.0,0.0281,1,heavy,1,2.89,0.0182,0.0174,1.0,30.6,10.2614
1964,Argentina,ARG,ARS,Latin America,1960s,0.0368,0.1393,0.3727,0.0299,0.3029,0.0181,33.12,3.37,-0.66,Very Low (<$0.30),21.0,0.0291,1,heavy,1,2.88,0.0181,0.0187,1.0,31.0,10.129
1965,Argentina,ARG,ARS,Latin America,1960s,0.0384,0.1454,0.3828,0.0319,0.318,0.0191,34.56,4.35,6.69,Very Low (<$0.30),21.0,0.0303,1,heavy,1,2.86,0.018,0.0204,1.0,31.5,9.9683
1966,Argentina,ARG,ARS,Latin America,1960s,0.0422,0.1597,0.409,0.0346,0.3353,0.0203,37.98,9.9,8.46,Very Low (<$0.30),21.0,0.0333,1,heavy,1,2.88,0.0181,0.0241,1.0,32.4,9.6914
1967,Argentina,ARG,ARS,Latin America,1960s,0.0423,0.1601,0.3977,0.0348,0.3272,0.0201,38.07,0.24,0.58,Very Low (<$0.30),21.0,0.0334,1,heavy,1,2.92,0.0184,0.0239,1.0,33.4,9.4012
1968,Argentina,ARG,ARS,Latin America,1960s,0.0444,0.1681,0.4006,0.0364,0.3284,0.0216,39.96,4.96,4.6,Very Low (<$0.30),21.0,0.0351,1,heavy,1,2.94,0.0185,0.0259,1.0,34.8,9.023
1969,Argentina,ARG,ARS,Latin America,1960s,0.0471,0.1783,0.403,0.0389,0.3328,0.0224,42.39,6.08,6.87,Very Low (<$0.30),21.0,0.0372,1,heavy,1,3.09,0.0194,0.0277,1.0,36.7,8.5559
1970,Argentina,ARG,ARS,Latin America,1970s,0.0503,0.1904,0.4071,0.0411,0.3326,0.0244,45.27,6.79,5.66,Very Low (<$0.30),28.0,0.0362,1,heavy,1,3.18,0.02,0.0303,1.0,38.8,8.0928
1971,Argentina,ARG,ARS,Latin America,1970s,0.0525,0.1987,0.407,0.0423,0.328,0.0258,47.25,4.37,2.92,Very Low (<$0.30),28.0,0.0378,1,heavy,1,3.6,0.0226,0.0299,1.0,40.5,7.7531
1972,Argentina,ARG,ARS,Latin America,1970s,0.0544,0.2059,0.4087,0.0443,0.3328,0.0266,48.96,3.62,4.73,Very Low (<$0.30),28.0,0.0392,1,heavy,1,3.6,0.0226,0.0318,1.0,41.8,7.512
1973,Argentina,ARG,ARS,Latin America,1970s,0.0559,0.2116,0.3953,0.0466,0.3296,0.026,50.31,2.76,5.19,Very Low (<$0.30),28.0,0.0402,1,heavy,1,4.75,0.0299,0.026,1.2,44.4,7.0721
1974,Argentina,ARG,ARS,Latin America,1970s,0.0586,0.2218,0.3732,0.0477,0.3038,0.0288,52.74,4.83,2.36,Very Low (<$0.30),28.0,0.0422,1,heavy,1,9.35,0.0588,-0.0002,1.55,49.3,6.3692
1975,Argentina,ARG,ARS,Latin America,1970s,0.0584,0.2211,0.3408,0.0485,0.2831,0.0274,52.56,-0.34,1.68,Very Low (<$0.30),28.0,0.042,1,heavy,1,10.72,0.0674,-0.009,1.0,53.8,5.8364
1976,Argentina,ARG,ARS,Latin America,1970s,0.0705,0.2669,0.3891,0.0585,0.3228,0.0332,63.45,20.72,20.62,Very Low (<$0.30),28.0,0.0508,1,heavy,1,11.51,0.0724,-0.0019,1.0,56.9,5.5185
1977,Argentina,ARG,ARS,Latin America,1970s,0.0806,0.3051,0.4176,0.0658,0.3409,0.0393,72.54,14.33,12.48,Very Low (<$0.30),28.0,0.058,1,heavy,1,13.92,0.0876,-0.007,1.0,60.6,5.1815
1978,Argentina,ARG,ARS,Latin America,1970s,0.0919,0.3479,0.4426,0.0753,0.3626,0.0449,82.71,14.02,14.44,Very Low (<$0.30),28.0,0.0662,1,heavy,1,14.02,0.0882,0.0037,1.0,65.2,4.816
1979,Argentina,ARG,ARS,Latin America,1970s,0.1037,0.3925,0.4485,0.085,0.3676,0.049,93.33,12.84,12.88,Very Low (<$0.30),28.0,0.0747,1,heavy,1,31.61,0.1988,-0.0951,1.3,72.6,4.3251
1980,Argentina,ARG,ARS,Latin America,1980s,0.1208,0.4573,0.4603,0.0987,0.3761,0.0581,108.72,16.49,16.12,Very Low (<$0.30),35.0,0.0785,1,heavy,1,36.83,0.2317,-0.1109,1.25,82.4,3.8107
1981,Argentina,ARG,ARS,Latin America,1980s,0.1286,0.4868,0.4442,0.1076,0.3717,0.0594,115.74,6.46,9.02,Very Low (<$0.30),35.1,0.0835,1,heavy,1,35.75,0.2249,-0.0963,1.0,90.9,3.4543
1982,Argentina,ARG,ARS,Latin America,1980s,0.1407,0.5326,0.4578,0.1142,0.3716,0.0671,126.63,9.41,6.13,Very Low (<$0.30),35.1,0.0913,1,heavy,1,31.82,0.2001,-0.0594,1.0,96.5,3.2539
1983,Argentina,ARG,ARS,Latin America,1980s,0.1539,0.5826,0.4852,0.1267,0.3994,0.0725,138.51,9.38,10.95,Very Low (<$0.30),35.2,0.0997,1,heavy,1,29.55,0.1859,-0.032,1.0,99.6,3.1526
1984,Argentina,ARG,ARS,Latin America,1980s,0.176,0.6662,0.5319,0.1451,0.4385,0.0827,158.4,14.36,14.52,Very Low (<$0.30),35.2,0.114,1,heavy,1,28.78,0.181,-0.005,1.0,103.9,3.0221
1985,Argentina,ARG,ARS,Latin America,1980s,0.1807,0.684,0.5273,0.1437,0.4193,0.0873,162.63,2.67,-0.96,Very Low (<$0.30),35.3,0.1169,1,heavy,1,27.56,0.1733,0.0074,1.0,107.6,2.9182
1986,Argentina,ARG,ARS,Latin America,1980s,0.2084,0.7889,0.5971,0.1773,0.508,0.1008,187.56,15.33,23.38,Very Low (<$0.30),35.3,0.1348,1,heavy,1,14.43,0.0908,0.1176,0.75,109.6,2.865
1987,Argentina,ARG,ARS,Latin America,1980s,0.236,0.8934,0.6523,0.1969,0.5442,0.1087,212.4,13.24,11.05,Very Low (<$0.30),35.4,0.1525,1,heavy,1,18.44,0.116,0.12,1.0,113.6,2.7641
1988,Argentina,ARG,ARS,Latin America,1980s,0.2651,1.0035,0.7036,0.2203,0.5847,0.1272,238.59,12.33,11.88,Very Low (<$0.30),35.4,0.1713,1,heavy,1,14.92,0.0938,0.1713,1.0,118.3,2.6543
1989,Argentina,ARG,ARS,Latin America,1980s,0.2995,1.1337,0.7584,0.2402,0.6082,0.1407,269.55,12.98,9.03,Very Low (<$0.30),35.5,0.1932,1,heavy,1,18.33,0.1153,0.1842,1.0,124.0,2.5323
1990,Argentina,ARG,ARS,Latin America,1990s,0.3456,1.3082,0.8303,0.2877,0.6912,0.1629,311.04,15.39,19.78,Low ($0.30–$0.70),35.5,0.2229,1,heavy,1,23.73,0.1493,0.1963,1.0,130.7,2.4024
1991,Argentina,ARG,ARS,Latin America,1990s,0.3797,1.4373,0.8754,0.3118,0.7188,0.1842,341.73,9.87,8.38,Low ($0.30–$0.70),35.6,0.2445,1,heavy,1,20.2,0.1271,0.2526,1.0,136.2,2.3054
1992,Argentina,ARG,ARS,Latin America,1990s,0.4182,1.5831,0.936,0.3385,0.7576,0.2006,376.38,10.14,8.56,Low ($0.30–$0.70),35.6,0.2693,1,heavy,1,19.32,0.1215,0.2967,1.0,140.3,2.2381
1993,Argentina,ARG,ARS,Latin America,1990s,0.47,1.7791,1.0213,0.3776,0.8205,0.2354,423.0,12.39,11.55,Low ($0.30–$0.70),35.7,0.3022,1,heavy,1,16.97,0.1067,0.3633,1.0,144.5,2.173
1994,Argentina,ARG,ARS,Latin America,1990s,0.5329,2.0172,1.1291,0.4423,0.9371,0.2627,479.61,13.38,17.13,Low ($0.30–$0.70),35.7,0.3427,1,heavy,1,15.82,0.0995,0.4334,1.0,148.2,2.1188
1995,Argentina,ARG,ARS,Latin America,1990s,0.5773,2.1853,1.1895,0.4702,0.9688,0.2831,519.57,8.33,6.31,Low ($0.30–$0.70),35.8,0.3706,1,heavy,1,17.02,0.1071,0.4702,1.0,152.4,2.0604
1996,Argentina,ARG,ARS,Latin America,1990s,0.5744,2.1743,1.1495,0.47,0.9406,0.2767,516.96,-0.5,-0.04,Low ($0.30–$0.70),35.8,0.3688,1,heavy,1,22.12,0.1391,0.4353,1.0,156.9,2.0013
1997,Argentina,ARG,ARS,Latin America,1990s,0.5792,2.1925,1.1331,0.4863,0.9514,0.2719,521.28,0.84,3.47,Low ($0.30–$0.70),35.9,0.3713,1,heavy,1,19.09,0.1201,0.4591,1.0,160.5,1.9564
1998,Argentina,ARG,ARS,Latin America,1990s,0.5938,2.2478,1.1439,0.4951,0.9538,0.2809,534.42,2.52,1.81,Low ($0.30–$0.70),35.9,0.3806,1,heavy,1,13.07,0.0822,0.5116,0.82,163.0,1.9264
1999,Argentina,ARG,ARS,Latin America,1990s,0.5929,2.2444,1.1175,0.4925,0.9282,0.2888,533.61,-0.15,-0.53,Low ($0.30–$0.70),36.0,0.3795,1,heavy,1,17.97,0.113,0.4799,1.0,166.6,1.8848
2000,Argentina,ARG,ARS,Latin America,2000s,0.6,2.2712,1.0941,0.49,0.8935,0.2818,540.0,1.2,-0.51,Low ($0.30–$0.70),36.1,0.3834,1,heavy,1,30.38,0.1911,0.4089,1.0,172.2,1.8235
2001,Argentina,ARG,ARS,Latin America,2000s,0.5657,2.1414,1.003,0.4683,0.8303,0.2751,509.13,-5.72,-4.43,Low ($0.30–$0.70),36.1,0.3615,1,heavy,1,25.93,0.1631,0.4026,1.0,177.1,1.773
2002,Argentina,ARG,ARS,Latin America,2000s,0.5526,2.0918,0.9645,0.466,0.8134,0.2673,497.34,-2.32,-0.49,Low ($0.30–$0.70),36.2,0.3526,1,heavy,1,26.15,0.1645,0.3881,1.0,179.9,1.7454
2003,Argentina,ARG,ARS,Latin America,2000s,0.5325,2.0157,0.9087,0.4309,0.7353,0.2597,479.25,-3.64,-7.53,Low ($0.30–$0.70),36.2,0.3397,1,heavy,1,31.07,0.1954,0.3371,1.0,184.0,1.7065
2004,Argentina,ARG,ARS,Latin America,2000s,0.4868,1.8427,0.8092,0.3975,0.6607,0.2337,438.12,-8.58,-7.75,Low ($0.30–$0.70),36.3,0.3101,1,heavy,1,41.49,0.261,0.2258,1.0,188.9,1.6623
2005,Argentina,ARG,ARS,Latin America,2000s,0.4806,1.8193,0.7727,0.3931,0.632,0.2393,432.54,-1.27,-1.11,Low ($0.30–$0.70),36.3,0.3061,1,heavy,1,56.59,0.3559,0.1247,1.0,195.3,1.6078
2006,Argentina,ARG,ARS,Latin America,2000s,0.533,2.0176,0.8302,0.4408,0.6866,0.2582,479.7,10.9,12.13,Low ($0.30–$0.70),36.4,0.339,1,heavy,1,66.02,0.4153,0.1177,1.0,201.6,1.5575
2007,Argentina,ARG,ARS,Latin America,2000s,0.6061,2.2943,0.9181,0.5022,0.7607,0.2918,545.49,13.71,13.93,Low ($0.30–$0.70),36.4,0.3855,1,heavy,1,72.34,0.455,0.1511,1.0,207.3,1.5147
2008,Argentina,ARG,ARS,Latin America,2000s,0.6326,2.3947,0.9226,0.5267,0.7682,0.3129,569.34,4.37,4.88,Low ($0.30–$0.70),36.5,0.4017,1,heavy,1,99.67,0.6269,0.0057,1.28,215.3,1.4584
2009,Argentina,ARG,ARS,Latin America,2000s,0.6967,2.6373,1.0199,0.5857,0.8574,0.3367,627.03,10.13,11.2,Low ($0.30–$0.70),36.5,0.4424,1,heavy,1,61.74,0.3883,0.3084,0.78,214.5,1.4639
2010,Argentina,ARG,ARS,Latin America,2010s,0.7897,2.9893,1.1369,0.6499,0.9357,0.3756,710.73,13.35,10.96,Medium ($0.70–$1.10),36.6,0.5007,1,heavy,1,79.61,0.5007,0.289,1.0,218.1,1.4397
2011,Argentina,ARG,ARS,Latin America,2010s,0.7757,2.9363,1.083,0.6403,0.894,0.3726,698.13,-1.77,-1.48,Medium ($0.70–$1.10),36.6,0.4918,1,heavy,1,111.26,0.6998,0.0759,1.0,224.9,1.3962
2012,Argentina,ARG,ARS,Latin America,2010s,0.7735,2.928,1.0578,0.6463,0.8839,0.3749,696.15,-0.28,0.94,Medium ($0.70–$1.10),36.7,0.4896,1,heavy,1,112.01,0.7045,0.069,1.0,229.6,1.3676
2013,Argentina,ARG,ARS,Latin America,2010s,0.7641,2.8924,1.0297,0.6208,0.8366,0.3646,687.69,-1.22,-3.95,Medium ($0.70–$1.10),36.7,0.4837,1,heavy,1,108.66,0.6835,0.0806,1.0,233.0,1.3476
2014,Argentina,ARG,ARS,Latin America,2010s,0.7653,2.897,1.0152,0.6205,0.8231,0.374,688.77,0.16,-0.05,Medium ($0.70–$1.10),36.8,0.4837,1,heavy,1,98.97,0.6225,0.1428,1.0,236.7,1.3266
2015,Argentina,ARG,ARS,Latin America,2010s,0.7676,2.9057,1.017,0.6419,0.8504,0.3607,690.84,0.3,3.45,Medium ($0.70–$1.10),36.8,0.4851,1,heavy,1,52.39,0.3295,0.4381,1.0,237.0,1.3249
2016,Argentina,ARG,ARS,Latin America,2010s,0.7057,2.6714,0.9233,0.5815,0.7608,0.345,635.13,-8.06,-9.41,Medium ($0.70–$1.10),36.9,0.4453,1,heavy,1,43.74,0.2751,0.4306,1.0,240.0,1.3083
2017,Argentina,ARG,ARS,Latin America,2010s,0.6606,2.5006,0.8463,0.536,0.6867,0.3187,594.54,-6.39,-7.82,Low ($0.30–$0.70),36.9,0.4168,1,heavy,1,54.25,0.3412,0.3194,1.0,245.1,1.2811
2018,Argentina,ARG,ARS,Latin America,2010s,0.6221,2.3549,0.7779,0.5132,0.6418,0.306,559.89,-5.83,-4.25,Low ($0.30–$0.70),37.0,0.3919,1,heavy,1,71.34,0.4487,0.1734,1.0,251.1,1.2505
2019,Argentina,ARG,ARS,Latin America,2010s,0.559,2.116,0.6865,0.4593,0.564,0.2612,503.1,-10.14,-10.5,Low ($0.30–$0.70),37.0,0.3522,1,heavy,1,64.37,0.4049,0.1541,1.0,255.7,1.228
2020,Argentina,ARG,ARS,Latin America,2020s,0.6768,2.562,0.8212,0.5459,0.6623,0.3176,609.12,21.07,18.85,Low ($0.30–$0.70),37.1,0.4257,1,heavy,1,41.84,0.2632,0.4136,0.72,258.8,1.2133
2021,Argentina,ARG,ARS,Latin America,2020s,0.7697,2.9136,0.8918,0.6316,0.7318,0.3716,692.73,13.73,15.7,Medium ($0.70–$1.10),37.2,0.4834,1,heavy,1,70.86,0.4457,0.324,1.0,271.0,1.1587
2022,Argentina,ARG,ARS,Latin America,2020s,0.8957,3.3906,0.9609,0.7176,0.7698,0.432,806.13,16.37,13.62,Medium ($0.70–$1.10),37.2,0.5625,1,heavy,1,101.32,0.6373,0.2584,1.3,292.7,1.0728
2023,Argentina,ARG,ARS,Latin America,2020s,1.0168,3.849,1.0478,0.8242,0.8494,0.5005,915.12,13.52,14.86,Medium ($0.70–$1.10),37.3,0.6375,1,heavy,1,82.49,0.5188,0.498,1.0,304.7,1.0305
2024,Argentina,ARG,ARS,Latin America,2020s,1.0556,3.9959,1.0556,0.8511,0.8511,0.4979,950.04,3.82,3.26,Medium ($0.70–$1.10),37.3,0.6619,1,heavy,1,80.0,0.5032,0.5524,1.0,314.0,1.0
1924,Brazil,BRA,BRL,Latin America,1920s,0.0153,0.0579,0.2809,0.0125,0.2295,0.0093,0.076,,,Very Low (<$0.30),16.8,0.0127,0,partial,1,1.43,0.009,0.0063,1.0,17.1,18.3626
1925,Brazil,BRA,BRL,Latin America,1920s,0.0153,0.0579,0.2745,0.0129,0.2315,0.0095,0.076,0.0,3.2,Very Low (<$0.30),16.8,0.0127,0,partial,1,1.68,0.0106,0.0047,1.0,17.5,17.9429
1926,Brazil,BRA,BRL,Latin America,1920s,0.0155,0.0587,0.275,0.0132,0.2342,0.0091,0.077,1.31,2.33,Very Low (<$0.30),16.8,0.0129,0,partial,1,1.88,0.0118,0.0037,1.0,17.7,17.7401
1927,Brazil,BRA,BRL,Latin America,1920s,0.0157,0.0594,0.2833,0.0134,0.2418,0.01,0.078,1.29,1.52,Very Low (<$0.30),16.8,0.0131,0,partial,1,1.3,0.0082,0.0075,1.0,17.4,18.046
1928,Brazil,BRA,BRL,Latin America,1920s,0.0156,0.0591,0.2865,0.013,0.2387,0.01,0.0775,-0.64,-2.99,Very Low (<$0.30),16.8,0.013,0,partial,1,1.17,0.0074,0.0082,1.0,17.1,18.3626
1929,Brazil,BRA,BRL,Latin America,1920s,0.0156,0.0591,0.2865,0.0131,0.2405,0.01,0.0775,0.0,0.77,Very Low (<$0.30),16.8,0.013,0,partial,1,1.27,0.008,0.0076,1.0,17.1,18.3626
1930,Brazil,BRA,BRL,Latin America,1930s,0.016,0.0606,0.3008,0.0135,0.2538,0.01,0.0795,2.56,3.05,Very Low (<$0.30),16.8,0.0133,0,partial,1,1.19,0.0075,0.0085,1.0,16.7,18.8024
1931,Brazil,BRA,BRL,Latin America,1930s,0.0169,0.064,0.3491,0.0143,0.2954,0.0102,0.084,5.62,5.93,Very Low (<$0.30),16.8,0.0141,0,partial,1,0.65,0.0041,0.0128,1.0,15.2,20.6579
1932,Brazil,BRA,BRL,Latin America,1930s,0.0166,0.0628,0.3805,0.0142,0.3255,0.0106,0.0825,-1.78,-0.7,Very Low (<$0.30),16.8,0.0138,0,partial,1,0.87,0.0055,0.0111,1.0,13.7,22.9197
